question_id,book_id,book,chapter,verse_reference,verse_start,difficulty,difficulty_rank,question_type,ui_type,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,accepted_answers,explanation,fact_id,variant_index,tags,translation,source_mode,source_url,review_status,active
PRO-01-EZ-001,PRO,Proverbs,1,Proverbs 1:1,1,Easy,1,direct_fact,single_select,Who is named at the opening of Proverbs as David's son and Israel's king?,The fear of the LORD,Wisdom and instruction,His father's instruction,Solomon,D,Solomon,Solomon,The book opens by identifying Solomon as David's son and king of Israel. See Proverbs 1:1.,PRO-01-F01,1,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-002,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,direct_fact,single_select,What does Proverbs 1:7 call the beginning of knowledge?,His father's instruction,Wisdom and instruction,The fear of the LORD,Solomon,C,The fear of the LORD,The fear of the LORD,Reverence for the LORD is presented as the starting point of knowledge. See Proverbs 1:7.,PRO-01-F02,1,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-003,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,direct_fact,single_select,What two things do fools despise in Proverbs 1:7?,The fear of the LORD,His father's instruction,Wisdom and instruction,Solomon,C,Wisdom and instruction,Wisdom and instruction,Fools reject both wisdom and instruction. See Proverbs 1:7.,PRO-01-F03,1,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-004,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,direct_fact,single_select,Whose instruction is the son told to hear?,The fear of the LORD,Solomon,His father's instruction,Wisdom and instruction,C,His father's instruction,His father's instruction,A son is urged to listen to his father's instruction. See Proverbs 1:8.,PRO-01-F04,1,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-005,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,direct_fact,single_select,Whose law is the son told not to forsake?,Solomon,His mother's law,The fear of the LORD,Wisdom and instruction,B,His mother's law,His mother's law,A son is told not to abandon his mother's teaching. See Proverbs 1:8.,PRO-01-F05,1,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-006,PRO,Proverbs,1,Proverbs 1:10,10,Easy,1,direct_fact,single_select,What should the son do if sinners entice him?,Solomon,Do not consent,The fear of the LORD,Wisdom and instruction,B,Do not consent,Do not consent,The son is warned not to agree when sinners try to lure him. See Proverbs 1:10.,PRO-01-F06,1,temptation;sin,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-007,PRO,Proverbs,1,Proverbs 1:14,14,Easy,1,direct_fact,single_select,What do the violent sinners propose everyone should have in common?,The fear of the LORD,Wisdom and instruction,One purse,Solomon,C,One purse,One purse,The enticers propose sharing one common purse. See Proverbs 1:14.,PRO-01-F07,1,greed;temptation,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-008,PRO,Proverbs,1,Proverbs 1:20,20,Easy,1,direct_fact,single_select,Who is pictured calling publicly in Proverbs 1?,Solomon,Wisdom and instruction,Wisdom,The fear of the LORD,C,Wisdom,Wisdom,Wisdom is personified as calling out publicly. See Proverbs 1:20.,PRO-01-F08,1,wisdom;personification,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-009,PRO,Proverbs,1,Proverbs 1:22,22,Easy,1,direct_fact,single_select,Which three groups are challenged by Wisdom's call?,"The simple, scorners, and fools",The fear of the LORD,Wisdom and instruction,Solomon,A,"The simple, scorners, and fools","The simple, scorners, and fools","Wisdom addresses the simple, scorners, and fools. See Proverbs 1:22.",PRO-01-F09,1,wisdom;groups,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-010,PRO,Proverbs,1,Proverbs 1:33,33,Easy,1,direct_fact,single_select,What is promised to the person who listens to Wisdom?,The fear of the LORD,Wisdom and instruction,Safety and freedom from fear of evil,Solomon,C,Safety and freedom from fear of evil,Safety and freedom from fear of evil,Listening to Wisdom is associated with secure living without dread of evil. See Proverbs 1:33.,PRO-01-F10,1,wisdom;security,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
